Tópico,Subtópico,Perfil,Criticidade,Resumo,Description,Auditoria - Descrição,Auditoria – REGEX
109,SSH Hardening,Light,Baixa,Permissões SSH seguras,Ajustar permissões de sshd_config e diretório /etc/ssh.,Verificar permissões de arquivos e diretório SSH,"( stat -c %a /etc/ssh/sshd_config | grep -Eq '^(600|400)$' && [ ""$(stat -c %U:%G /etc/ssh)"" = ""root:root"" ] ) && echo ""PASS"" || echo ""FAIL""
#Em POSIX, permissões não são ordenáveis semanticamente por número"
110,SSH Hardening,Full,Média,Controle de acesso via Allow Deny,Configurar directivas Allow e Deny conforme politica,Procura diretivas AllowUsers AllowGroups DenyUsers ou DenyGroups no sshd config,"(grep -Eq '^[[:space:]]*(AllowUsers|AllowGroups|DenyUsers|DenyGroups)[[:space:]]+' /etc/ssh/sshd_config 2>/dev/null) && echo ""PASS"" || echo ""FAIL"""
111,SSH Hardening,Light,Baixa,SyslogFacility AUTHPRIV,Configurar SyslogFacility AUTHPRIV.,Verificar parâmetro SyslogFacility,"(grep -Eq '^[[:space:]]*SyslogFacility[[:space:]]+AUTHPRIV\b' /etc/ssh/sshd_config 2>/dev/null) && echo ""PASS"" || echo ""FAIL"""
112,SSH Hardening,Light,Baixa,X11Forwarding off,Desabilitar X11Forwarding quando não requerido.,Verificar parâmetro X11Forwarding,"(grep -Eq '^[[:space:]]*X11Forwarding[[:space:]]+no' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
113,SSH Hardening,Light,Alta,MaxAuthTries restrito,Configurar MaxAuthTries de forma restritiva.,Verificar valor de MaxAuthTries,"(grep -Eq '^[[:space:]]*MaxAuthTries[[:space:]]+[1-4]$' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
114,SSH Hardening,Light,Alta,IgnoreRhosts yes,Configurar IgnoreRhosts yes.,Verificar parâmetro IgnoreRhosts,"(grep -Eq '^[[:space:]]*IgnoreRhosts[[:space:]]+yes' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
115,SSH Hardening,Light,Baixa,HostbasedAuth off,Configurar HostbasedAuthentication no.,Verificar parâmetro HostbasedAuthentication,"(grep -Eq '^[[:space:]]*HostbasedAuthentication[[:space:]]+no' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL""

#echo -e ""\n[116] PermitRootLogin restrito/desabilitado""
#(grep -Eq '^[[:space:]]*PermitRootLogin[[:space:]]+(no|prohibit-password)' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
117,SSH Hardening,Light,Alta,EmptyPasswords off,Configurar PermitEmptyPasswords no.,Verificar parâmetro PermitEmptyPasswords,"(grep -Eq '^[[:space:]]*PermitEmptyPasswords[[:space:]]+no' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
118,SSH Hardening,Light,Média,UserEnvironment off,Configurar PermitUserEnvironment no.,Verificar parâmetro PermitUserEnvironment,"(grep -Eq '^[[:space:]]*PermitUserEnvironment[[:space:]]+no' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
119,SSH Hardening,Light,Alta,UsePAM on,Configurar UsePAM yes.,Verificar parâmetro UsePAM,"(grep -Eq '^[[:space:]]*UsePAM[[:space:]]+yes' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
120,SSH Hardening,Light,Baixa,ClientAlive tunado,Ajustar ClientAliveInterval e ClientAliveCountMax.,Verificar parâmetros ClientAlive,"(grep -Eq '^[[:space:]]*ClientAliveInterval[[:space:]]+([1-9][0-9]|[1-2][0-9]{2}|300)$' /etc/ssh/sshd_config  && grep -Eq '^[[:space:]]*ClientAliveCountMax[[:space:]]+[1-3]$' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
121,SSH Hardening,Light,Alta,LoginGraceTime restrito,Configurar LoginGraceTime restritivo.,Verificar parâmetro LoginGraceTime,"(grep -Eq '^[[:space:]]*LoginGraceTime[[:space:]]+([1-9][0-9]|[1-5][0-9]{2})s?$' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
122,SSH Hardening,Light,Média,MaxStartups restrito,Configurar MaxStartups e MaxSessions restritivos.,Verificar parâmetros MaxStartups e MaxSessions,"(grep -Eq '^[[:space:]]*MaxStartups[[:space:]]+.+$' /etc/ssh/sshd_config  && grep -Eq '^[[:space:]]*MaxSessions[[:space:]]+[1-9]+' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
123,SSH Hardening,Full,Alta,AllowTcpForwarding restrito,Restringir AllowTcpForwarding,Confere se AllowTcpForwarding esta definido como no ou restrito,"(grep -Eq '^[[:space:]]*AllowTcpForwarding[[:space:]]+no' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
124,SSH Hardening,Light,Baixa,Banner legal,Configurar Banner legal quando exigido.,Verificar parâmetro Banner,"( grep -Eq '^[[:space:]]*Banner[[:space:]]+\S+' /etc/ssh/sshd_config ) && echo ""PASS"" || echo ""FAIL"""
125,SSH Hardening,Full,Alta,Ciphers fortes apenas,Aplicar lista de cifradores fortes,Verifica se diretiva Ciphers contem apenas algoritmos considerados fortes,"(grep -Eq '^[[:space:]]*Ciphers[[:space:]]+.*(chacha20|aes256).*' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
126,SSH Hardening,Full,Alta,MACs fortes apenas,Aplicar MACs fortes,Checa se diretiva MACs contem somente algoritmos seguros,"(grep -Eq '^[[:space:]]*MACs[[:space:]]+.*(hmac-sha2|umac).*' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
127,SSH Hardening,Full,Alta,KexAlgorithms fortes apenas,Aplicar KexAlgorithms fortes,Verifica se KexAlgorithms inclui apenas metodos fortes como curve25519 e DH robusto,"(grep -Eq '^[[:space:]]*KexAlgorithms[[:space:]]+.*(curve25519|diffie-hellman-group-exchange-sha256).*' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
128,SSH Hardening,Full,Alta,Preferencia por algoritmos modernos,Priorizar algoritmos modernos,Checa se Ciphers e KexAlgorithms priorizam suites modernas,"(grep -Eq '^[[:space:]]*(Ciphers|KexAlgorithms)[[:space:]]+.*(chacha20|curve25519).*' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
129,SSH Hardening,Full,Alta,ForceCommand Chroot SSH,Utilizar ForceCommand ou Chroot quando aplicavel,Verifica se ha diretivas ForceCommand ou ChrootDirectory configuradas para contas especificas,"(grep -Eq '^[[:space:]]*(ForceCommand|ChrootDirectory)[[:space:]]+' /etc/ssh/sshd_config) && echo ""PASS"" || echo ""FAIL"""
130,Senhas e Contas,Light,Alta,PAM complexidade,Incluir módulo de complexidade na stack PAM.,Verificar presença do módulo de complexidade na stack PAM,"grep -Eq 'pam_pwquality\.so' /etc/pam.d/*auth && echo ""PASS"" || echo ""FAIL"""
131,Senhas e Contas,Light,Alta,pwquality configurado,Configurar pam_pwquality conforme baseline.,Verificar parâmetros do pam_pwquality,"( grep -Eq 'pam_pwquality\.so' /etc/pam.d/common-password 2>/dev/null && grep -Psiq '^\s*minlen\s*=\s*(1[4-9]|[2-9][0-9]+)\b' /etc/security/pwquality.conf /etc/security/pwquality.conf.d/*.conf 2>/dev/null && grep -Psiq '^\s*minclass\s*=\s*[4-9]\b' /etc/security/pwquality.conf /etc/security/pwquality.conf.d/*.conf 2>/dev/null ) && echo ""PASS"" || echo ""FAIL"""
132,Senhas e Contas,Full,Alta,pam faillock habilitado,Habilitar pam faillock para bloqueio de conta,Verifica uso de pam faillock nas pilhas de autenticacao,"(grep -Eq 'pam_faillock\.so' /etc/pam.d/common-auth /etc/pam.d/common-account 2>/dev/null) && echo ""PASS"" || echo ""FAIL"""
133,Senhas e Contas,Full,Alta,pam tally2 habilitado,Habilitar pam tally2 quando aplicavel,Checa referencias a pam tally2 nas pilhas de autenticacao,"! grep -Eq 'pam_tally2\.so' /etc/pam.d/*auth && echo ""PASS"" || echo ""FAIL"""
134,Senhas e Contas,Light,Alta,pwhistory configurado,Configurar pam_pwhistory.,Verificar configuração de pwhistory,"(grep -Eq 'pam_pwhistory\.so' /etc/pam.d/common-password 2>/dev/null) && echo ""PASS"" || echo ""FAIL"""
135,Senhas e Contas,Light,Alta,Senha mínima,Definir tamanho mínimo de senha.,Verificar parâmetro de tamanho mínimo,"grep -Psiq '^\s*minlen\s*=\s*(1[4-9]|[2-9][0-9]+)' /etc/security/pwquality.conf* && echo ""PASS"" || echo ""FAIL"""
136,Senhas e Contas,Light,Alta,Complexidade mínima,Configurar complexidade mínima de senha.,Verificar requisitos de complexidade,"grep -Psiq '^\s*minclass\s*=\s*[4-9]' /etc/security/pwquality.conf* && echo ""PASS"" || echo ""FAIL"""
137,Senhas e Contas,Light,Baixa,Sem repetição/sequência,Configurar limites de repetição e sequência.,Verificar parâmetros de repetição e sequência,"grep -Psiq '^\s*maxrepeat\s*=\s*3\b'   /etc/security/pwquality.conf* && grep -Psiq '^\s*maxsequence\s*=\s*3\b' /etc/security/pwquality.conf* && echo ""PASS"" || echo ""FAIL"""
138,Senhas e Contas,Light,Baixa,Dicionário ativo,Habilitar verificação de dicionário quando aplicável.,Verificar parâmetro de verificação de dicionário,"! grep -Psiq '^\s*dictcheck\s*=\s*0\b' /etc/security/pwquality.conf* && echo ""PASS"" || echo ""FAIL"""
139,Senhas e Contas,Light,Alta,Hash forte,Configurar algoritmo de hashing forte.,Verificar algoritmo configurado,"grep -Eq 'pam_unix\.so.*(sha512|yescrypt)' /etc/pam.d/*auth && echo ""PASS"" || echo ""FAIL"""
140,Senhas e Contas,Light,Alta,Histórico de senhas,Configurar histórico de senha.,Verificar parâmetro de histórico,"(grep -Eq 'pam_pwhistory\.so.*remember=([5-9]|[1-9][0-9]+)' /etc/pam.d/common-password 2>/dev/null) && echo ""PASS"" || echo ""FAIL"""
141,Senhas e Contas,Full,Alta,Bloqueio por tentativas invalidas,Configurar bloqueio por tentativas invalidas,Verifica parametro deny em faillock conf,"grep -Pi '^\s*deny\s*=\s*([5-9]|[1-9][0-9]+)' /etc/security/faillock.conf && echo ""PASS"" || echo ""FAIL"""
142,Senhas e Contas,Light,Baixa,Tempo desbloqueio,Configurar tempo de desbloqueio conforme política.,Verificar tempo de desbloqueio,"grep -Pi '^\s*unlock_time\s*=\s*(9[0-9]{2}|[1-9][0-9]{3,})\b' /etc/security/faillock.conf && echo ""PASS"" || echo ""FAIL"""
143,Senhas e Contas,Light,Alta,PASS_MAX_DAYS,Configurar PASS_MAX_DAYS.,Verificar PASS_MAX_DAYS,"val=$(awk '$1==""PASS_MAX_DAYS""{print $2; exit}' /etc/login.defs); [[ ""$val"" =~ ^[0-9]+$ ]] && [[ ""$val"" -le 365 ]] && echo ""PASS"" || echo ""FAIL"""
144,Senhas e Contas,Light,Baixa,PASS_MIN_DAYS,Configurar PASS_MIN_DAYS.,Verificar PASS_MIN_DAYS,"grep -Eq '^\s*PASS_MIN_DAYS\s+[1-9][0-9]*' /etc/login.defs && echo ""PASS"" || echo ""FAIL"""
145,Senhas e Contas,Light,Baixa,PASS_WARN_AGE,Configurar PASS_WARN_AGE.,Verificar PASS_WARN_AGE,"grep -Eq '^\s*PASS_WARN_AGE\s+([7-9]|[1-9][0-9]+)' /etc/login.defs && echo ""PASS"" || echo ""FAIL"""
146,Senhas e Contas,Light,Alta,INACTIVE ajustado,Configurar parâmetro INACTIVE para contas locais.,Verificar parâmetro INACTIVE,"awk -F: '$2~/^\$/ && ($7=="""" || $7<30){exit 1}' /etc/shadow && echo ""PASS"" || echo ""FAIL"""
147,Senhas e Contas,Light,Baixa,Corrigir datas senha,Corrigir datas inconsistentes de troca de senha.,Verificar inconsistências de data,"awk -F: '$2~/^\$/{if($3==""""||$3==0) exit 1} END{exit 0}' /etc/shadow && echo ""PASS"" || echo ""FAIL"""
148,Senhas e Contas,Light,Alta,UID 0 exclusivo,Garantir apenas root com UID 0.,Verificar contas com UID 0,"awk -F: '($3==0 && $1!=""root""){exit 1}' /etc/passwd && echo ""PASS"" || echo ""FAIL"""
149,Senhas e Contas,Light,Alta,GID 0 exclusivo,Garantir apenas grupo root com GID 0.,Verificar grupos com GID 0,"[ ""$(awk -F: '/^root:/ {print $4}' /etc/passwd)"" = ""0"" ] && echo ""PASS"" || echo ""FAIL"""
150,Senhas e Contas,Light,Alta,Contas sistema bloqueadas,Bloquear contas de sistema com shell inválido.,Verificar shells de contas de sistema,"awk -F: '($3<1000 && $1!=""root"" && $7 ~ /(bash|sh|zsh)$/){exit 1}' /etc/passwd && echo ""PASS"" || echo ""FAIL"""
151,Senhas e Contas,Light,Baixa,Shells válidos,Remover shells inválidos de /etc/shells.,Verificar conteúdo de /etc/shells,"grep -qE '^(\/usr)?\/sbin\/nologin$' /etc/shells && echo ""PASS"" || echo ""FAIL"""
152,Senhas e Contas,Light,Alta,PATH root seguro,Ajustar PATH do root removendo diretórios inseguros.,Verificar variável PATH do root,"(grep -Rqs 'PATH=.*\/usr/local/sbin.*\/usr/sbin.*\/sbin' /root/.profile /root/.bashrc /etc/profile /etc/profile.d 2>/dev/null) && echo ""PASS"" || echo ""FAIL"""
153,Senhas e Contas,Light,Alta,Umask restritiva,Configurar umask restritiva padrão.,Verificar valor de umask padrão,"grep -Rqs 'umask 027' /etc/profile /etc/bash.bashrc /etc/profile.d 2>/dev/null && echo ""PASS"" || echo ""FAIL"""
154,Senhas e Contas,Light,Baixa,Timeout shell,Configurar timeout de shell.,Verificar variável de timeout,"grep -Rqs 'TMOUT=900' /etc/profile /etc/bash.bashrc /etc/profile.d 2>/dev/null && echo ""PASS"" || echo ""FAIL"""
155,Sudo,Light,Alta,Sudo restrito,Restringir administração privilegiada via sudo.,Verificar configuração do sudoers,"grep -RqsE '^%.*ALL=\(ALL\)' /etc/sudoers /etc/sudoers.d 2>/dev/null && echo ""FAIL"" || echo ""PASS"""
156,Sudo,Light,Alta,Sudo tty,Configurar sudo para uso de pseudo tty.,Verificar parâmetro requiretty ou equivalente,"grep -Rqs 'use_pty' /etc/sudoers /etc/sudoers.d && echo ""PASS"" || echo ""FAIL"""
157,Sudo,Light,Alta,Sudo logging,Habilitar logging de sudo.,Verificar configuração de log do sudo,"grep -Rqs 'logfile=' /etc/sudoers /etc/sudoers.d && echo ""PASS"" || echo ""FAIL"""
158,Sudo,Full,Média,Reautenticacao nao desabilitada,Garantir que reautenticacao nao esteja desabilitada,Verifica ausencia de Defaults authenticate desabilitado em sudoers,"grep -Rqs '!authenticate' /etc/sudoers /etc/sudoers.d && echo ""FAIL"" || echo ""PASS"""
159,Sudo,Light,Média,Sudo timeout,Configurar timeout de autenticação sudo.,Verificar configuração de timeout,"grep -Rqs 'timestamp_timeout=5' /etc/sudoers /etc/sudoers.d && echo ""PASS"" || echo ""FAIL"""
160,Sudo,Light,Alta,su restrito,Restringir uso de su a grupo autorizado.,Verificar configuração do su e grupo permitido,"grep -Eq 'pam_wheel\.so.*group=(sudo|wheel)' /etc/pam.d/su && echo ""PASS"" || echo ""FAIL"""
161,Auditoria e Logs,Light,Baixa,Arquitetura logs,Garantir ao menos um mecanismo de log ativo.,Verificar se rsyslog ou systemd-journald está ativo,"( systemctl is-active rsyslog &>/dev/null || systemctl is-active systemd-journald &>/dev/null ) && echo ""PASS"" || echo ""FAIL"""
162,Auditoria e Logs,Light,Alta,Journald persistente,Configurar journald com persistência quando aplicável.,Verificar configuração de persistência,"grep -q '^Storage=persistent' /etc/systemd/journald.conf && echo ""PASS"" || echo ""FAIL"""
163,Auditoria e Logs,Light,Baixa,rsyslog ativo,Instalar e ativar rsyslog quando requerido.,Verificar presença e status do rsyslog,"( pkg_installed rsyslog && systemctl is-active rsyslog &>/dev/null ) && echo ""PASS"" || echo ""FAIL"""
164,Auditoria e Logs,Light,Alta,Rotação logs,Configurar rotação de logs.,Verificar configuração de rotação,"( grep -Eq 'rsyslog' /etc/logrotate.d/* 2>/dev/null ) && echo ""PASS"" || echo ""FAIL"""
165,Auditoria e Logs,Light,Alta,auditd instalado,Instalar e habilitar auditd.,Verificar presença e status do auditd,"( ( pkg_installed audit || pkg_installed auditd ) && systemctl is-active auditd &>/dev/null ) && echo ""PASS"" || echo ""FAIL"""
166,Auditoria e Logs,Light,Alta,auditd no boot,Garantir auditd inicializa antes de serviços críticos.,Verificar ordem de inicialização,"grep -q 'audit=1' /proc/cmdline && echo ""PASS"" || echo ""FAIL"""
167,Auditoria e Logs,Light,Alta,Tamanho máximo audit,Configurar tamanho máximo de log de auditoria.,Verificar parâmetro max_log_file,"( grep -Eq '^\s*max_log_file\s*=\s*[1-9]' /etc/audit/auditd.conf ) && echo ""PASS"" || echo ""FAIL"""
168,Auditoria e Logs,Full,Alta,Logs de auditoria nao excluidos automaticamente,Evitar exclusao automatica de logs de auditoria,Verifica max log file action em auditd conf para garantir keep logs ou rotate,"( grep -Eq '^\s*max_log_file_action\s*=\s*(keep_logs|rotate)' /etc/audit/auditd.conf ) && echo ""PASS"" || echo ""FAIL"""
169,Auditoria e Logs,Light,Alta,Auditoria data/hora,Configurar auditoria de alteração de data e hora.,Verificar regras de auditoria de time change,"( auditctl -l 2>/dev/null | grep -Eq 'adjtimex|settimeofday|clock_settime' ) && echo ""PASS"" || echo ""FAIL"""
170,Auditoria e Logs,Light,Alta,Auditoria contas,Configurar auditoria de alteração de contas e grupos.,Verificar regras de auditoria relacionadas a contas,"( auditctl -l 2>/dev/null | grep -Eq '/etc/(passwd|shadow|group|gshadow)' ) && echo ""PASS"" || echo ""FAIL"""
171,Auditoria e Logs,Light,Média,Auditoria rede,Configurar auditoria de alterações de rede.,Verificar regras de auditoria de rede,"( auditctl -l 2>/dev/null | grep -Eq 'sethostname|setdomainname|/etc/hosts|/etc/hostname' ) && echo ""PASS"" || echo ""FAIL"""
173,Auditoria e Logs,Light,Alta,Auditoria login,Configurar auditoria de login e logout.,Verificar regras de auditoria de login,"( auditctl -l 2>/dev/null | grep -Eq '/var/log/faillog|/var/log/lastlog|/var/run/utmp' ) && echo ""PASS"" || echo ""FAIL"""
174,Auditoria e Logs,Light,Baixa,Auditoria DAC,Configurar auditoria de permissões DAC.,Verificar regras de auditoria DAC,"( auditctl -l 2>/dev/null | grep -Eq 'chmod|chown|fchmod|fchown' ) && echo ""PASS"" || echo ""FAIL"""
175,Auditoria e Logs,Light,Alta,Auditoria acesso negado,Configurar auditoria de tentativas de acesso não autorizado.,Verificar regras de acesso negado,"( auditctl -l 2>/dev/null | grep -Eq 'EACCES|EPERM' ) && echo ""PASS"" || echo ""FAIL"""
176,Auditoria e Logs,Light,Alta,Auditoria exec privilegiado,Configurar auditoria de execuções privilegiadas.,Verificar regras de execve privilegiado,"( find / -xdev -perm -4000 -type f 2>/dev/null | while read -r f; do auditctl -l 2>/dev/null | grep -q ""$f"" || exit 1; done ) && echo ""PASS"" || echo ""FAIL"""
177,Auditoria e Logs,Light,Baixa,Auditoria mount,Configurar auditoria de mount e unmount.,Verificar regras relacionadas a mount,"( auditctl -l 2>/dev/null | grep -Eq 'mount|umount' ) && echo ""PASS"" || echo ""FAIL"""
178,Auditoria e Logs,Light,Baixa,Auditoria deleção,Configurar auditoria de deleção de arquivos.,Verificar regras de deleção,"( auditctl -l 2>/dev/null | grep -Eq 'unlink|rename|rmdir|unlinkat|renameat' ) && echo ""PASS"" || echo ""FAIL"""
179,Auditoria e Logs,Light,Alta,Auditoria módulos kernel,Configurar auditoria de carga e descarga de módulos de kernel.,Verificar regras relacionadas a módulos,"( auditctl -l 2>/dev/null | grep -Eq 'init_module|finit_module|delete_module' ) && echo ""PASS"" || echo ""FAIL"""
180,Auditoria e Logs,Light,Alta,Auditoria sudo,Configurar auditoria de sudo e sudoers.,Verificar regras de auditoria de sudo,"( auditctl -l 2>/dev/null | grep -Eq '/etc/sudoers|/etc/sudoers.d' ) && echo ""PASS"" || echo ""FAIL"""
181,Auditoria e Logs,Full,Alta,Configuracao de auditoria imutavel,Tornar configuracao de auditoria imutavel em producao,Verifica se parametro e2 esta ativo em auditctl,"( auditctl -s 2>/dev/null | grep -Eq '^[[:space:]]*enabled[[:space:]]+2\b' ) && echo ""PASS"" || echo ""FAIL"""
182,Integridade,Full,Alta,AIDE instalado e inicializado,Garantir AIDE instalado e base inicializada,Verifica instalacao do pacote AIDE e existencia de banco de dados inicial,"( pkg_installed aide && [ -f /var/lib/aide/aide.db.gz ] ) && echo ""PASS"" || echo ""FAIL"""
183,Integridade,Light,Alta,Verificação integridade,Agendar verificação periódica de integridade.,Verificar agendamento configurado,"( grep -Ersq 'aide(\.wrapper)? .*(--check|--update|\$AIDEARGS)' /etc/cron.* /etc/crontab /var/spool/cron 2>/dev/null || systemctl list-timers --all 2>/dev/null | grep -qi aime ) && echo ""PASS"" || echo ""FAIL"""
184,Integridade,Full,Alta,Protecao dos binarios de auditoria,Proteger binarios e ferramentas de auditoria,Verifica permissoes e proprietario de binarios como auditctl aureport ausearch auditd,"( for b in auditctl aureport ausearch autrace auditd augenrules; do p=""$(command -v ""$b"")"" || exit 1; stat -Lc ""%U %G"" ""$p"" | awk '{if($1!=""root"" || $2!=""root"") exit 1}' || exit 1; done ) && echo ""PASS"" || echo ""FAIL"""
185,Permissões,Light,Alta,Permissões passwd,Ajustar permissões de /etc/passwd.,Verificar permissões de /etc/passwd,"( [ -f /etc/passwd ] && stat -Lc ""%a %u %g"" /etc/passwd | grep -Eq '^64[0-9] 0 0$' ) && echo ""PASS"" || echo ""FAIL"""
186,Permissões,Light,Baixa,Permissões passwd-,Ajustar permissões de /etc/passwd-.,Verificar permissões de /etc/passwd-,"( [ -f /etc/passwd- ] && stat -Lc ""%a %u %g"" /etc/passwd- | grep -Eq '^64[0-9] 0 0$' ) && echo ""PASS"" || echo ""FAIL"""
187,Permissões,Light,Alta,Permissões shadow,Ajustar permissões de /etc/shadow.,Verificar permissões de /etc/shadow,"( [ -f /etc/shadow ] && stat -Lc ""%a %u %g"" /etc/shadow | grep -Eq '^0+ 0 0$' ) && echo ""PASS"" || echo ""FAIL"""
188,Permissões,Light,Baixa,Permissões shadow-,Ajustar permissões de /etc/shadow-.,Verificar permissões de /etc/shadow-,"( [ -f /etc/shadow- ] && stat -Lc ""%a %u %g"" /etc/shadow- | grep -Eq '^0+ 0 0$' ) && echo ""PASS"" || echo ""FAIL"""
189,Permissões,Light,Baixa,Permissões gshadow-,Ajustar permissões de /etc/gshadow-.,Verificar permissões de /etc/gshadow-,"( [ -f /etc/gshadow- ] && stat -Lc ""%a %u %g"" /etc/gshadow- | grep -Eq '^(600|60[0-9]|[0-5][0-9]{2}) 0 0$' ) && echo ""PASS"" || echo ""FAIL"""
190,Permissões,Light,Alta,Permissões gshadow,Ajustar permissões de /etc/gshadow.,Verificar permissões de /etc/gshadow,"( [ -f /etc/gshadow ] && stat -Lc ""%a %u %g"" /etc/gshadow | grep -Eq '^(600|60[0-9]|[0-5][0-9]{2}) 0 0$' ) && echo ""PASS"" || echo ""FAIL"""
191,Permissões,Light,Baixa,Permissões group,Ajustar permissões de /etc/group.,Verificar permissões de /etc/group,"( [ -f /etc/group ] && stat -Lc ""%a %u %g"" /etc/group | grep -Eq '^64[0-9] 0 0$' ) && echo ""PASS"" || echo ""FAIL"""
192,Permissões,Light,Baixa,Permissões group-,Ajustar permissões de /etc/group-.,Verificar permissões de /etc/group-,"( [ -f /etc/group- ] && stat -Lc ""%a %u %g"" /etc/group- | grep -Eq '^64[0-9] 0 0$' ) && echo ""PASS"" || echo ""FAIL"""
193,Sistema e Contas,Full,Baixa,nologin fora de etc shells,Garantir que nologin seja tratado de forma consistente,Verifica se nologin aparece listado em etc shells,"grep -qE '^(\/usr)?\/sbin\/nologin$' /etc/shells && echo ""PASS"" || echo ""FAIL"""
194,Permissões,Light,Alta,Proteger opasswd,Proteger /etc/security/opasswd contra acesso não autorizado.,Verificar permissões de opasswd,"( [ -f /etc/security/opasswd ] && stat -Lc ""%a %u %g"" /etc/security/opasswd | grep -Eq '^600 0 0$' ) && echo ""PASS"" || echo ""FAIL"""
195,Permissões,Light,Baixa,Arquivos órfãos,Corrigir arquivos órfãos sem owner válido.,Identificar arquivos sem owner válido,"( find / -xdev \( -nouser -o -nogroup \) 2>/dev/null | grep -q . ) && echo ""FAIL"" || echo ""PASS"""
196,Permissões,Light,Alta,Sticky world-writable,Garantir sticky bit em diretórios world writable.,Verificar sticky bit em diretórios world writable,"(find / -xdev -type d -perm -0002 ! -perm -1000 2>/dev/null | grep . && echo ""FAIL"" || echo ""PASS"")"
197,Permissões,Light,Baixa,Arquivos sem grupo,Corrigir arquivos sem owner ou grupo válido.,Identificar arquivos sem owner ou grupo,"( find / -xdev \( -nouser -o -nogroup \) 2>/dev/null | grep -q . ) && echo ""FAIL"" || echo ""PASS"""
198,Permissões,Full,Alta,SUID SGID revisados,Rever binarios SUID e SGID,Lista arquivos com bits SUID ou SGID definidos,"( find / -xdev \( -perm -4000 -o -perm -2000 \) 2>/dev/null | grep -Ev '^(/usr/bin/sudo|/usr/bin/su|/bin/su|/usr/bin/passwd|/usr/bin/chage|/usr/bin/chsh|/usr/bin/chfn|/usr/bin/newgrp|/usr/bin/gpasswd|/usr/sbin/unix_chkpwd|/usr/sbin/pam_timestamp_check|/usr/bin/mount|/usr/bin/umount|/usr/bin/fusermount|/usr/bin/pkexec|/usr/bin/crontab|/usr/bin/ssh-agent|/usr/bin/ksu|/usr/libexec/openssh/ssh-keysign|/usr/bin/ping|/usr/bin/ping6|/usr/bin/traceroute|/usr/bin/traceroute6)$' | grep -q . ) && echo ""FAIL"" || echo ""PASS"""
199,Home,Light,Baixa,Home ausente,Verificar usuários sem diretório home,Verificar usuários sem diretório home,"( awk -F: '$3>=1000 && $1!=""nobody""{print $6}' /etc/passwd | while read -r h; do [ -d ""$h"" ] || exit 1; done ) && echo ""PASS"" || echo ""FAIL"""
200,Home,Light,Alta,Ownership home,Ajustar ownership dos diretórios home para o respectivo usuário.,Verificar ownership dos diretórios home,"( awk -F: '$3>=1000 && $1!=""nobody""{print $1,$6}' /etc/passwd | while read -r u h; do [ -d ""$h"" ] && [ ""$(stat -Lc %U ""$h"")"" = ""$u"" ] || exit 1; done ) && echo ""PASS"" || echo ""FAIL"""
201,Home,Light,Alta,Permissões home,Ajustar permissões de home para 750 ou mais restritivas.,Verificar permissões dos diretórios home,"( awk -F: '$3>=1000 && $1!=""nobody""{print $6}' /etc/passwd | while read -r h; do [ -d ""$h"" ] && [ ""$(stat -Lc %a ""$h"")"" -le 750 ] || exit 1; done ) && echo ""PASS"" || echo ""FAIL"""
202,Home,Light,Baixa,Dotfiles seguros,Ajustar permissões de dotfiles removendo escrita indevida.,Verificar permissões de dotfiles,"( while read -r h; do [ -d ""$h"" ] || continue; find ""$h"" -maxdepth 1 -type f -name "".*"" -perm /022 2>/dev/null; done < <(awk -F: '$3>=1000 && $1!=""nobody""{print $6}' /etc/passwd) | grep -q . ) && echo ""FAIL"" || echo ""PASS"""
203,Home,Light,Alta,Arquivos trust legado,Remover ou proteger arquivos forward  netrc e rhosts conforme política.,Verificar presença desses arquivos,"( while read -r h; do [ -d ""$h"" ] || continue; for f in ""$h/.forward"" ""$h/.netrc"" ""$h/.rhosts""; do [ -e ""$f"" ] && echo ""$f""; done; done < <(awk -F: '$3>=1000 && $1!=""nobody""{print $6}' /etc/passwd) | grep -q . ) && echo ""FAIL"" || echo ""PASS"""
